istatenum;icasenum;ivnumber;ipnumber;iarrhr;iarrmin;sarrtime;iatmcond;icity;iconszone;icounty;saccdate;iaccday;iacchr;iaccmin;iaccmon;iarf1;iarf2;iarf3;sacctime;iaccyr;dayofweek;ihosphr;ihospmin;shosptime;ifhevent;ihitrun;iholiday;heavytruck;latitude;ilatdeg;ilatmin;ilatsec;ilightcond;longitude;ilondeg;ilonmin;ilonsec;imanncol;smilepnt;inhs;inothr;inotmin;snottime;numfatal;inmforms;ipforms;itraflane;ivforms;srxing;ireljunc;irelrdwy;iroadalgn;irfun;iroadprof;isurfcond;isurftype;irtesign;ischlbus;ispejur;ispdlim;icontdev;idevfunc;itrafflow;strafid;strafid2;iage;iairbag;ialcres;ialctst;sdthdate;ideathday;ideathhr;ideathmin;ideathmon;sdthtime;ideathyr;idiedscene;idrugres1;idrugres2;idrugres3;idrugtst1;idrugtst2;idrugtst3;iejection;iejectpath;iextricat;iinjurwrk;ihispanic;iinjury;imethalc;imethdrug;inmlocat;istrikveh;iprf1;iprf2;iprf3;iptype;idruginv;ialcinvol;irace;irestraint;iseatpos;isex;itakehosp;lagtime
6;3;1;4;99;99;9999;1;0;0;71;1012006;1;17;56;1;0;0;0;1756;2006;1;99;99;9999;1;0;1;1;34.06665278;34;3;5995;1;-116.55563333;116;33;2028;0;33;1;99;99;9999;1;0;4;4;1;0;1;4;1;3;1;1;2;3;0;0;55;0;0;5;SR-62;.;10;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;0;51;1;1;99999
6;4;1;1;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;48;30;0;1;0;0;0;0;0;0;0;0;128;337;373;1;1;1;0;0;0;8;0;3;9;7;0;0;0;0;0;1;1;8;0;3;11;1;1;99999
6;4;2;1;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;30;1;0;1;1012006;1;22;8;1;2208;2006;7;1;0;0;1;0;0;0;0;0;1;1;4;9;8;0;0;0;0;0;1;8;0;1;3;11;1;0;0
6;4;2;2;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;36;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;3;13;2;1;99999
6;4;2;3;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;8;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;3;21;1;1;99999
6;4;2;4;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;10;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;3;23;1;1;99999
6;4;2;5;99;99;9999;1;0;0;65;1012006;1;22;8;1;0;0;0;2208;2006;1;99;99;9999;12;0;1;0;33.78252222;33;46;5708;1;-116.34898889;116;20;5636;4;473;1;99;99;9999;1;0;6;3;2;0;1;1;1;1;1;1;2;1;0;0;70;0;0;3;I-10;.;5;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;2;8;8;0;99;22;1;0;99999
6;5;1;1;99;99;9999;1;1364;0;1;1012006;1;23;6;1;0;0;0;2306;2006;1;99;99;9999;12;0;1;0;37.57451389;37;34;2825;3;-121.96962778;121;58;1066;5;108;0;99;99;9999;1;0;3;2;2;0;2;1;1;13;1;1;2;3;0;0;40;3;3;2;SR-238;SR-84;36;30;15;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;8;0;2;5;8;0;0;0;0;0;1;8;1;0;1;11;2;1;99999
6;5;2;1;99;99;9999;1;1364;0;1;1012006;1;23;6;1;0;0;0;2306;2006;1;99;99;9999;12;0;1;0;37.57451389;37;34;2825;3;-121.96962778;121;58;1066;5;108;0;99;99;9999;1;0;3;2;2;0;2;1;1;13;1;1;2;3;0;0;40;3;3;2;SR-238;SR-84;26;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;1;8;0;0;3;11;1;1;99999
6;5;2;2;99;99;9999;1;1364;0;1;1012006;1;23;6;1;0;0;0;2306;2006;1;99;99;9999;12;0;1;0;37.57451389;37;34;2825;3;-121.96962778;121;58;1066;5;108;0;99;99;9999;1;0;3;2;2;0;2;1;1;13;1;1;2;3;0;0;40;3;3;2;SR-238;SR-84;36;30;3;1;1022006;2;0;4;1;4;2006;0;1;0;0;1;0;0;0;0;0;0;1;4;9;8;0;0;18;0;0;2;8;8;1;3;13;2;1;58
6;6;0;1;99;99;9999;1;1980;0;37;1042006;4;19;1;1;0;0;0;1901;2006;4;99;99;9999;8;2;0;0;34.00062500;34;0;225;3;-118.28711389;118;17;1361;0;0;0;99;99;9999;1;1;2;4;1;0;3;1;1;14;1;1;2;6;0;0;35;0;0;1;HOOVER ST;47TH ST;51;0;0;1;1042006;4;19;34;1;1934;2006;0;402;407;0;1;1;0;0;0;0;0;7;4;9;8;4;1;0;0;0;5;9;9;2;0;0;1;1;33
6;6;1;1;99;99;9999;1;1980;0;37;1042006;4;19;1;1;0;0;0;1901;2006;4;99;99;9999;8;2;0;0;34.00062500;34;0;225;3;-118.28711389;118;17;1361;0;0;0;99;99;9999;1;1;2;4;1;0;3;1;1;14;1;1;2;6;0;0;35;0;0;1;HOOVER ST;47TH ST;99;99;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;9;9;8;0;0;0;0;0;1;9;9;0;99;11;9;0;99999
6;7;1;1;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;20;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;1;8;0;0;2;11;1;1;99999
6;7;1;2;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;20;30;96;0;1042006;4;19;15;1;1915;2006;7;0;0;0;0;0;0;1;9;0;1;7;4;9;8;0;0;0;0;0;2;8;8;1;0;53;1;0;0
6;7;1;3;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;22;30;96;0;1042006;4;19;15;1;1915;2006;7;0;0;0;0;0;0;1;9;0;1;7;4;9;8;0;0;0;0;0;2;8;8;97;0;53;1;0;0
6;7;1;4;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;36;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;0;53;1;0;99999
6;7;1;5;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;19;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;0;53;1;0;99999
6;7;1;6;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;20;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;0;53;1;0;99999
6;7;1;7;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;28;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;0;53;1;0;99999
